Pair_UID,X_unitNum,Y_unitNum,X_area,Y_area,XY_Dist,condition,alignedName,rhoRaw_50ms,pvalRaw_50ms,rhoRaw_150ms,pvalRaw_150ms,rhoRaw_200ms,pvalRaw_200ms,X_Y_visGrade,X_Y_visType,X_Y_moveGrade,X_Y_errGrade,X_Y_rewGrade,X_Y_poorIso,Y_visGrade,Y_visType,Y_moveGrade,Y_errGrade,Y_rewGrade,Y_poorIso,monkey,sessNum,sess,outcome,satCondition,epoch,sameAreaPair,sameChannelPair,pairCount,signifPlusRho,signifMinusRho,nonSignifRho
PAIR_0001,2,3,FEF,FEF,3.38698922348448,AccurateCorrect,Baseline,-0.07084858,0.1854109,-0.1158612,0.02998944,-0.1116858,0.03648176,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,Correct,Accurate,Baseline,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,AccurateCorrect,Visual,0.004649713,0.9308288,-0.01096075,0.8378665,0.02351056,0.6606907,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,Correct,Accurate,Visual,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,AccurateCorrect,PostSaccade,0.06539446,0.2216687,0.04342026,0.4173892,0.02088132,0.6966412,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,Correct,Accurate,PostSaccade,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,AccurateCorrect,PostReward,-0.002921768,0.9565016,0.1123274,0.03541262,0.1756739,0.0009489178,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,Correct,Accurate,PostReward,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,AccurateErrorChoice,Baseline,0.3254908,0.004378477,0.0655786,0.5761681,-0.07701001,0.5113733,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,Baseline,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,AccurateErrorChoice,Visual,-0.1248585,0.2858236,0.05374963,0.6469535,0.001718662,0.9883241,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,Visual,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,AccurateErrorChoice,PostSaccade,0.0269184,0.8186775,-0.1284515,0.2720754,-0.05868,0.6170191,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,PostSaccade,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,AccurateErrorChoice,PostReward,-0.06549001,0.5766847,0.03786492,0.7470529,0.02375662,0.8396733,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,PostReward,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,AccurateErrorTiming,Baseline,0.04773984,0.5063949,0.08801337,0.21994,0.03080217,0.6682334,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,Baseline,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,AccurateErrorTiming,Visual,-0.0341365,0.6347923,0.05004191,0.4860894,0.09506953,0.1850173,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,Visual,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,AccurateErrorTiming,PostSaccade,-0.1594183,0.02562334,-0.0004638268,0.9948521,0.01708155,0.8121685,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,PostSaccade,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,AccurateErrorTiming,PostReward,-0.03771321,0.5997261,-0.09922547,0.1664539,-0.0730483,0.3089181,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,PostReward,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,FastCorrect,Baseline,-0.002436918,0.9636106,0.0888421,0.09560032,0.01182317,0.8248144,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,Correct,Fast,Baseline,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,FastCorrect,Visual,0.0662057,0.2146641,0.04944482,0.3543132,0.07490396,0.1602297,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,Correct,Fast,Visual,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,FastCorrect,PostSaccade,0.0379882,0.4768,0.09789988,0.06617104,0.07282659,0.1721752,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,Correct,Fast,PostSaccade,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,FastCorrect,PostReward,0.07863051,0.1403802,0.1572937,0.003043943,0.2069046,9.001013e-05,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,Correct,Fast,PostReward,1,0,1,1,0,0
PAIR_0001,2,3,FEF,FEF,3.38698922348448,FastErrorChoice,Baseline,0.001376127,0.988884,0.1206147,0.2203422,0.1340117,0.1729047,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Fast,Baseline,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,FastErrorChoice,Visual,0.06352119,0.5197327,0.0475206,0.6302433,0.03965207,0.6879733,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Fast,Visual,1,0,1,0,0,1
PAIR_0001,2,3,FEF,FEF,3.38698922348448,FastErrorChoice,PostSaccade,-0.03012723,0.7603006,0.06737504,0.4946694,0.09579161,0.3310209,4,none,3,0,0,0,4,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Fast,PostSaccade,1,0,1,0,0,1
